country_code,country_name,year,life_expectancy_years,income_per_person_ppp_usd,population,region,income_level
dza,Algeria,2025,77.470000,16189.469850,47435312,africa,Level 3
ago,Angola,2025,66.300000,7457.174790,39040039,africa,Level 2
ben,Benin,2025,65.710000,4143.141630,14814460,africa,Level 2
bwa,Botswana,2025,63.080000,18189.033010,2562122,africa,Level 3
bfa,Burkina Faso,2025,62.970000,2661.187600,24074580,africa,Level 1
bdi,Burundi,2025,64.950000,848.374480,14390003,africa,Level 1
cmr,Cameroon,2025,64.520000,5107.232530,29879337,africa,Level 2
cpv,Cape Verde,2025,75.050000,10625.351840,527326,africa,Level 2
caf,Central African Republic,2025,53.600000,1135.803890,5513282,africa,Level 1
tcd,Chad,2025,61.580000,2645.811910,21003705,africa,Level 1
com,Comoros,2025,70.260000,3717.614560,882847,africa,Level 2
cod,"Congo, Dem. Rep.",2025,66.250000,1565.637620,112832473,africa,Level 1
cog,"Congo, Rep.",2025,66.380000,6377.206030,6484437,africa,Level 2
civ,Cote d'Ivoire,2025,65.530000,7143.215900,32711547,africa,Level 2
dji,Djibouti,2025,68.330000,7352.875250,1184076,africa,Level 2
egy,Egypt,2025,71.970000,17541.373970,118365995,africa,Level 3
gnq,Equatorial Guinea,2025,67.050000,14767.565930,1938431,africa,Level 3
eri,Eritrea,2025,65.420000,2441.677730,3607003,africa,Level 1
swz,Eswatini,2025,59.500000,11069.571170,1256174,africa,Level 2
eth,Ethiopia,2025,70.680000,3106.934220,135472051,africa,Level 1
gab,Gabon,2025,68.680000,19542.938360,2593130,africa,Level 3
gmb,Gambia,2025,68.160000,3199.308470,2822093,africa,Level 1
gha,Ghana,2025,67.410000,7404.440270,35064272,africa,Level 2
gin,Guinea,2025,62.460000,4320.523780,15099727,africa,Level 2
gnb,Guinea-Bissau,2025,62.190000,2838.375820,2249515,africa,Level 1
ken,Kenya,2025,67.980000,6158.766780,57532493,africa,Level 2
lso,Lesotho,2025,52.820000,2716.153090,2363325,africa,Level 1
lbr,Liberia,2025,67.610000,1751.850310,5731206,africa,Level 1
lby,Libya,2025,77.150000,14636.393310,7458555,africa,Level 3
mdg,Madagascar,2025,67.030000,1720.265230,32740678,africa,Level 1
mwi,Malawi,2025,66.200000,1689.430910,22216120,africa,Level 1
mli,Mali,2025,63.280000,3038.496670,25198821,africa,Level 1
mrt,Mauritania,2025,72.250000,6709.962940,5315065,africa,Level 2
mus,Mauritius,2025,76.350000,28927.497200,1268280,africa,Level 3
mar,Morocco,2025,74.710000,9582.507160,38430770,africa,Level 2
moz,Mozambique,2025,60.060000,1530.914650,35631653,africa,Level 1
nam,Namibia,2025,66.490000,10740.460720,3092816,africa,Level 2
ner,Niger,2025,64.090000,1870.050450,27917831,africa,Level 1
nga,Nigeria,2025,66.070000,5848.081570,237527782,africa,Level 2
rwa,Rwanda,2025,70.020000,3512.306130,14569341,africa,Level 2
stp,Sao Tome and Principe,2025,71.510000,5681.954890,240254,africa,Level 2
sen,Senegal,2025,70.430000,4871.280260,18931966,africa,Level 2
syc,Seychelles,2025,74.800000,30802.630060,132779,africa,Level 3
sle,Sierra Leone,2025,63.010000,3255.824360,8819794,africa,Level 2
som,Somalia,2025,59.860000,1462.562360,19654739,africa,Level 1
zaf,South Africa,2025,65.950000,13889.238880,64747319,africa,Level 3
ssd,South Sudan,2025,65.360000,716.249000,12188788,africa,Level 1
sdn,Sudan,2025,71.210000,1865.514030,51662147,africa,Level 1
tza,Tanzania,2025,68.590000,3924.401830,70545865,africa,Level 2
tgo,Togo,2025,66.470000,3007.555960,9721608,africa,Level 1
tun,Tunisia,2025,79.150000,13135.582650,12348573,africa,Level 3
uga,Uganda,2025,67.550000,3047.994890,51384894,africa,Level 1
zmb,Zambia,2025,64.260000,3944.463830,21913874,africa,Level 2
zwe,Zimbabwe,2025,61.970000,3675.570580,16950795,africa,Level 2
arg,Argentina,2025,77.600000,28467.058550,45851378,americas,Level 3
bhs,Bahamas,2025,77.040000,37464.412950,403033,americas,Level 4
brb,Barbados,2025,77.100000,21036.462890,282623,americas,Level 3
blz,Belize,2025,75.490000,13847.694310,422924,americas,Level 3
bol,Bolivia,2025,73.470000,10089.625900,12581843,americas,Level 2
bra,Brazil,2025,77.090000,20500.231680,212812405,americas,Level 3
can,Canada,2025,83.150000,58422.425050,40126723,americas,Level 4
chl,Chile,2025,81.390000,31425.369580,19859921,americas,Level 3
col,Colombia,2025,81.370000,19301.993440,53425635,americas,Level 3
cri,Costa Rica,2025,81.330000,28390.399880,5152950,americas,Level 3
cub,Cuba,2025,79.750000,15295.866160,10937203,americas,Level 3
dom,Dominican Republic,2025,74.350000,25662.873880,11520487,americas,Level 3
ecu,Ecuador,2025,77.510000,14442.509990,18289896,americas,Level 3
slv,El Salvador,2025,76.980000,12221.096740,6365503,americas,Level 3
grd,Grenada,2025,74.250000,18821.069540,117303,americas,Level 3
gtm,Guatemala,2025,73.630000,13328.776490,18687881,americas,Level 3
guy,Guyana,2025,68.260000,79370.521980,835986,americas,Level 4
hti,Haiti,2025,65.110000,2808.669750,11906095,americas,Level 1
hnd,Honduras,2025,72.930000,6863.332850,11005850,americas,Level 2
jam,Jamaica,2025,77.180000,10741.485650,2837077,americas,Level 2
mex,Mexico,2025,76.880000,22374.768580,131946900,americas,Level 3
nic,Nicaragua,2025,76.510000,8023.406330,7007502,americas,Level 2
pan,Panama,2025,81.170000,38412.094640,4571189,americas,Level 4
pry,Paraguay,2025,77.360000,17153.718620,7013078,americas,Level 3
per,Peru,2025,81.490000,16370.680240,34576665,americas,Level 3
lca,St. Lucia,2025,76.160000,25491.651510,180149,americas,Level 3
sur,Suriname,2025,73.510000,20256.663240,639850,americas,Level 3
tto,Trinidad and Tobago,2025,75.850000,33144.880320,1511155,americas,Level 3
usa,USA,2025,79.830000,78388.584610,347275807,americas,Level 4
ury,Uruguay,2025,78.500000,33757.562450,3384688,americas,Level 3
ven,Venezuela,2025,76.180000,8899.072000,28516896,americas,Level 2
afg,Afghanistan,2025,65.110000,2092.545880,43844111,asia,Level 1
aus,Australia,2025,83.790000,61942.614760,26974026,asia,Level 4
bhr,Bahrain,2025,77.980000,60839.233810,1643332,asia,Level 4
bgd,Bangladesh,2025,76.330000,8950.446440,175686899,asia,Level 2
btn,Bhutan,2025,74.820000,16920.957600,796682,asia,Level 3
brn,Brunei,2025,74.360000,82692.816260,466330,asia,Level 4
khm,Cambodia,2025,71.020000,7412.020830,17847982,asia,Level 2
chn,China,2025,78.810000,25504.917150,1416096094,asia,Level 3
